category,attribute,question_type,question_text,purpose
基本属性,本名,DIRECT,お名前って漢字だとどう書くんですか？,基本属性の把握
基本属性,本名,DIRECT,フルネームってどんな表記なんですか？,基本属性の把握
基本属性,本名,INDIRECT,お仕事とかで使うお名前って、そのまま本名ですか？,基本属性の把握
基本属性,本名,INDIRECT,名刺とかSNSって本名表記のことが多いですか？,基本属性の把握
基本属性,本名,ASSUMPTION,普段は本名で活動されてる感じですか？,基本属性の把握
基本属性,本名,ASSUMPTION,呼ばれ方はいろいろあっても、正式には別表記なんですか？,基本属性の把握
基本属性,本名,COMPARISON,仕事では本名の人と通称の人っていますよね。どちらが多いですか？,基本属性の把握
基本属性,本名,COMPARISON,SNSって本名派とハンドルネーム派に分かれますよね。ご自身はどうですか？,基本属性の把握
基本属性,本名,PAST,昔からずっと同じ名前の呼ばれ方でした？,基本属性の把握
基本属性,本名,PAST,学生時代ってフルネームで呼ばれること多かったですか？,基本属性の把握
基本属性,本名,SITUATIONAL,書類に正式名を書く場面って、今の表記で統一してますか？,基本属性の把握
基本属性,本名,SITUATIONAL,初対面の人にはどの名前で名乗ることが多いですか？,基本属性の把握
基本属性,本名,OBSERVATION,普段のお名前と正式なお名前、少し使い分けてそうですね。,基本属性の把握
基本属性,本名,OBSERVATION,表示名と本名、分けて使ってる感じですか？,基本属性の把握
基本属性,本名,HYPOTHETICAL,もし本を出すなら、本名で出したいですか？,基本属性の把握
基本属性,本名,HYPOTHETICAL,新しく活動を始めるなら、正式名と別名のどちらを使いますか？,基本属性の把握
基本属性,ニックネーム,DIRECT,普段は何て呼ばれることが多いですか？,基本属性の把握
基本属性,ニックネーム,DIRECT,呼ばれ方ってどんなのが一番しっくりきます？,基本属性の把握
基本属性,ニックネーム,INDIRECT,友達のあいだではどんな呼ばれ方してます？,基本属性の把握
基本属性,ニックネーム,INDIRECT,仕事とプライベートで呼ばれ方変わります？,基本属性の把握
基本属性,ニックネーム,ASSUMPTION,たぶん短く呼ばれること多そうですね。,基本属性の把握
